target_kappaR,actual_kappaR,delta,delta_over_pi,Fbar,Pi_left
6.0,5.929535736275306,5.792311455056181,1.84375,0.010596499959310859,-0.009444241376348457
6.0,5.929535736275306,5.890486225480862,1.8749999999999998,0.011096417114468373,-0.007666893645461527
6.0,5.929535736275306,5.988660995905543,1.90625,0.011489569669806524,-0.005815717559339949
6.0,5.929535736275306,6.086835766330224,1.9375,0.011772711809198866,-0.003908539408718676
6.0,5.929535736275306,6.1850105367549055,1.96875,0.011943524323336967,-0.001963724412588957
7.0,7.021818635062862,0.0,0.0,0.004381252601239485,-8.557573072016808e-16
7.0,7.021818635062862,0.09817477042468103,0.03125,0.004360264521900245,0.000662480475429623
7.0,7.021818635062862,0.19634954084936207,0.0625,0.0042974858597336595,0.0013185835762563134
7.0,7.021818635062862,0.2945243112740431,0.09375,0.004193474174026546,0.001961993105836343
7.0,7.021818635062862,0.39269908169872414,0.125,0.004049160548381793,0.0025865146549532603
7.0,7.021818635062862,0.4908738521234052,0.15625,0.0038658493976649593,0.0031861350789538457
7.0,7.021818635062862,0.5890486225480862,0.1875,0.0036452136809953595,0.003755080287399295
7.0,7.021818635062862,0.6872233929727672,0.21875,0.0033892834888679824,0.004287870802887608
7.0,7.021818635062862,0.7853981633974483,0.25,0.003100427665058963,0.0047793745601702065
7.0,7.021818635062862,0.8835729338221293,0.28125,0.002781329920711769,0.005224856434206997
7.0,7.021818635062862,0.9817477042468103,0.3125,0.0024349620030319034,0.005620024007755606
7.0,7.021818635062862,1.0799224746714913,0.34374999999999994,0.0020645564209657826,0.005961069117401897
7.0,7.021818635062862,1.1780972450961724,0.375,0.0016735800646215878,0.006244704753314862
7.0,7.021818635062862,1.2762720155208536,0.40625000000000006,0.0012657083445771248,0.006468196933120637
7.0,7.021818635062862,1.3744467859455345,0.4375,0.000844798024782002,0.006629391223300977
7.0,7.021818635062862,1.4726215563702154,0.46874999999999994,0.0004148564074096121,0.006726733640186415
7.0,7.021818635062862,1.5707963267948966,0.5,-1.9994803883060073e-05,0.006759285723943743
7.0,7.021818635062862,1.6689710972195777,0.53125,-0.0004555610803663162,0.006726733640186581
7.0,7.021818635062862,1.7671458676442586,0.5625,-0.0008876204604539729,0.006629391223301308
7.0,7.021818635062862,1.8653206380689396,0.59375,-0.0013119699893681884,0.006468196933121131
7.0,7.021818635062862,1.9634954084936207,0.625,-0.0017244703991662396,0.006244704753315513
7.0,7.021818635062862,2.061670178918302,0.65625,-0.002121087289813477,0.0059610691174027
7.0,7.021818635062862,2.1598449493429825,0.6874999999999999,-0.0024979287398925283,0.005620024007756554
7.0,7.021818635062862,2.2580197197676637,0.71875,-0.0028512807626488116,0.005224856434208078
7.0,7.021818635062862,2.356194490192345,0.75,-0.0031776426323436788,0.004779374560171414
7.0,7.021818635062862,2.454369260617026,0.78125,-0.0034737635449252906,0.004287870802888927
7.0,7.021818635062862,2.552544031041707,0.8125000000000001,-0.003736680594575736,0.003755080287400715
7.0,7.021818635062862,2.650718801466388,0.84375,-0.003963756323044463,0.003186135078955354
7.0,7.021818635062862,2.748893571891069,0.875,-0.004152712933689311,0.0025865146549548406
7.0,7.021818635062862,2.84706834231575,0.90625,-0.004301660215514693,0.0019619931058379786
7.0,7.021818635062862,2.945243112740431,0.9374999999999999,-0.004409115352631977,0.0013185835762579952
7.0,7.021818635062862,3.043417883165112,0.96875,-0.004474014628465372,0.0006624804754313281
7.0,7.021818635062862,3.141592653589793,1.0,-0.004495718777222179,8.569059632874965e-16
7.0,7.021818635062862,3.2397674240144743,1.03125,-0.004474014628465377,-0.0006624804754296228
7.0,7.021818635062862,3.3379421944391554,1.0625,-0.004409115352632002,-0.001318583576256315
7.0,7.021818635062862,3.436116964863836,1.09375,-0.004301660215514721,-0.0019619931058363392
